City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,avera,33.194,-82.5271,24.73,37,1,5.0,US,2023-03-04 20:08:50
162,paracuru,-3.41,-39.0306,27.84,77,73,4.54,BR,2023-03-04 20:08:50
163,guerrero negro,27.9769,-114.0611,17.65,52,0,5.77,MX,2023-03-04 20:08:51
164,mahebourg,-20.4081,57.7,27.92,80,100,2.36,MU,2023-03-04 20:08:51
165,kaitangata,-46.2817,169.8464,10.49,81,69,1.47,NZ,2023-03-04 20:08:51
166,dalvik,65.9702,-18.5286,2.76,96,100,3.35,IS,2023-03-04 20:08:51
167,cabo san lucas,22.8909,-109.9124,23.67,56,0,5.14,MX,2023-03-04 20:08:51
168,phuket,8.0,98.25,26.12,78,20,3.09,TH,2023-03-04 20:03:02
169,bogande,12.9714,-0.1436,31.4,9,35,3.56,BF,2023-03-04 20:08:52
170,lubumbashi,-11.6609,27.4794,18.69,98,100,1.07,CD,2023-03-04 20:08:17
171,narsaq,60.9167,-46.05,9.12,90,37,1.9,GL,2023-03-04 20:08:52
172,angoche,-16.2325,39.9086,24.91,92,100,3.09,MZ,2023-03-04 20:08:52
173,rogozno,52.7523,16.9905,-0.01,57,7,3.47,PL,2023-03-04 20:08:53
174,georgetown,5.4112,100.3354,25.96,69,20,3.6,MY,2023-03-04 20:04:49
175,vredendal,-31.6683,18.5012,18.58,85,9,2.93,ZA,2023-03-04 20:06:11
176,dongkan,33.9997,119.8308,6.13,79,2,3.17,CN,2023-03-04 20:08:53
177,imbituba,-28.24,-48.6703,32.14,72,97,3.08,BR,2023-03-04 20:08:53
178,elizabeth city,36.2946,-76.2511,19.01,42,0,7.72,US,2023-03-04 20:08:54
179,haukipudas,65.1765,25.3523,-3.31,98,99,1.57,FI,2023-03-04 20:08:54
180,katsuura,35.1333,140.3,11.12,67,100,7.71,JP,2023-03-04 20:08:54
181,ancud,-41.8697,-73.8203,14.55,60,73,4.78,CL,2023-03-04 20:08:54
182,camacha,33.0833,-16.3333,15.68,88,75,3.6,PT,2023-03-04 20:08:54
183,grand forks,47.9417,-97.4337,1.96,61,20,5.14,US,2023-03-04 20:08:55
184,ulladulla,-35.35,150.4667,17.49,92,12,2.85,AU,2023-03-04 20:08:55
185,russell,32.3502,-85.1999,24.98,33,0,2.57,US,2023-03-04 20:08:55
186,maniitsoq,65.4167,-52.9,0.65,81,8,3.02,GL,2023-03-04 20:08:55
187,pevek,69.7008,170.3133,-33.29,94,100,1.83,RU,2023-03-04 20:08:55
188,havre,49.5833,0.3333,6.22,93,100,2.57,FR,2023-03-04 20:08:56
189,rudnogorsk,57.2639,103.7519,-10.99,91,97,3.57,RU,2023-03-04 20:08:56
190,praia da vitoria,38.7333,-27.0667,15.42,79,100,10.19,PT,2023-03-04 20:08:56
191,naze,28.3667,129.4833,12.95,63,0,5.21,JP,2023-03-04 20:08:56
192,poplar bluff,36.757,-90.3929,13.88,63,0,3.09,US,2023-03-04 20:08:57
193,otane,-39.8833,176.6333,16.67,91,100,1.9,NZ,2023-03-04 20:08:57
194,luanda,-8.8368,13.2343,27.0,74,20,3.6,AO,2023-03-04 20:08:57
195,deep river,46.1001,-77.4995,3.19,80,100,1.14,CA,2023-03-04 20:08:58
196,codrington,-38.2667,141.9667,12.51,91,11,2.72,AU,2023-03-04 20:08:58
197,mantua,45.1667,10.7833,8.58,82,9,1.65,IT,2023-03-04 20:07:18
198,maba,24.6841,113.5984,13.1,54,0,0.69,CN,2023-03-04 20:08:58
199,provideniya,64.3833,-173.3,-8.15,95,100,3.35,RU,2023-03-04 20:08:58
200,capelinha,-17.6914,-42.5158,24.14,61,8,3.32,BR,2023-03-04 20:08:58
201,waitati,-45.75,170.5667,11.0,97,100,2.29,NZ,2023-03-04 20:08:59
202,sitka,57.0531,-135.33,2.94,48,40,1.54,US,2023-03-04 20:08:59
203,caravelas,-17.7125,-39.2481,27.03,67,45,3.38,BR,2023-03-04 20:08:59
204,vestmannaeyjar,63.4427,-20.2734,4.51,82,99,5.11,IS,2023-03-04 20:08:59
205,san pedro,14.35,121.0167,23.53,79,7,4.05,PH,2023-03-04 20:08:59
206,vilhena,-12.7406,-60.1458,25.51,80,100,1.43,BR,2023-03-04 20:09:00
207,masuguru,-11.3667,38.4167,22.47,97,100,1.0,TZ,2023-03-04 20:07:48
208,aykhal,66.0,111.5,-19.0,97,100,7.73,RU,2023-03-04 20:09:00
209,ajdabiya,30.7554,20.2263,15.76,79,48,7.64,LY,2023-03-04 20:09:00
210,eureka,40.8021,-124.1637,8.85,89,100,1.34,US,2023-03-04 20:09:01
211,airai,-8.9266,125.4092,14.77,92,100,1.28,TL,2023-03-04 20:09:01
212,altagracia de orituco,9.8601,-66.3814,30.96,46,70,3.54,VE,2023-03-04 20:09:01
213,omsukchan,62.5333,155.8,-38.36,98,65,2.78,RU,2023-03-04 20:09:01
214,husavik,66.0449,-17.3389,1.1,89,100,3.19,IS,2023-03-04 20:09:02
215,emerald,-23.5333,148.1667,20.75,85,2,2.75,AU,2023-03-04 20:07:53
216,hanna,51.6334,-111.9018,-8.11,92,96,4.01,CA,2023-03-04 20:09:02
217,mahajanga,-15.7167,46.3167,26.23,86,100,4.2,MG,2023-03-04 20:09:02
218,cherskiy,68.75,161.3,-40.53,97,45,1.27,RU,2023-03-04 20:09:02
219,gasa,31.5,34.4667,16.43,59,0,2.78,PS,2023-03-04 20:09:03
220,bang mun nak,16.0278,100.3792,24.99,54,33,2.1,TH,2023-03-04 20:09:03
221,trat,12.5,102.5,23.82,62,0,1.43,TH,2023-03-04 20:09:03
222,high level,58.5169,-117.136,-15.97,82,100,4.02,CA,2023-03-04 20:09:03
223,tiksi,71.6872,128.8694,-18.38,100,100,0.64,RU,2023-03-04 20:09:03
224,kamenka,51.3223,42.7678,-1.13,87,100,7.12,RU,2023-03-04 20:09:04
225,sandata,46.2708,41.7583,4.93,88,30,7.12,RU,2023-03-04 20:04:28
226,vestmanna,62.1564,-7.1664,1.51,93,100,6.69,FO,2023-03-04 20:09:04
227,saint george,37.1041,-113.5841,9.13,49,75,1.54,US,2023-03-04 20:09:04
228,alto paraguai,-14.5136,-56.4825,28.03,69,98,0.21,BR,2023-03-04 20:09:04
229,laguna de perlas,12.3429,-83.6712,27.3,71,96,5.19,NI,2023-03-04 20:09:05
230,port-gentil,-0.7193,8.7815,28.98,79,40,4.12,GA,2023-03-04 20:09:05
231,alice springs,-23.7,133.8833,17.75,39,15,2.06,AU,2023-03-04 20:09:05
232,harper,4.375,-7.7169,26.97,83,3,2.67,LR,2023-03-04 20:09:05
233,bengkulu,-3.8004,102.2655,23.12,89,100,1.66,ID,2023-03-04 20:09:06
234,beringovskiy,63.05,179.3167,-16.95,94,100,6.0,RU,2023-03-04 20:09:06
235,biltine,14.5333,20.9167,28.69,10,53,4.34,TD,2023-03-04 20:09:06
236,chokurdakh,70.6333,147.9167,-37.26,96,15,2.92,RU,2023-03-04 20:09:06
237,muhos,64.808,25.9931,-3.46,98,100,1.38,FI,2023-03-04 20:09:07
238,severo-kurilsk,50.6789,156.125,-6.48,72,99,8.96,RU,2023-03-04 20:09:07
239,puerto maldonado,-12.6,-69.1833,29.22,70,75,1.54,PE,2023-03-04 20:09:07
240,sao filipe,14.8961,-24.4956,23.01,63,1,4.07,CV,2023-03-04 20:09:07
241,olafsvik,64.8945,-23.7142,5.04,83,99,2.38,IS,2023-03-04 20:09:07
242,kharan,28.5833,65.4167,20.08,41,1,3.11,PK,2023-03-04 20:09:08
243,aksarka,66.5606,67.7975,-30.86,100,60,1.66,RU,2023-03-04 20:04:57
244,hamilton,39.1834,-84.5333,14.25,43,0,3.09,US,2023-03-04 20:09:08
245,quelimane,-17.8786,36.8883,23.92,95,60,2.29,MZ,2023-03-04 20:09:08
246,luba,3.4568,8.5547,28.06,82,18,3.93,GQ,2023-03-04 20:09:09
247,monticello,45.3055,-93.7941,3.19,67,0,3.6,US,2023-03-04 20:09:09
248,mujiayingzi,42.1167,118.7833,1.49,38,0,3.14,CN,2023-03-04 20:09:09
249,saldanha,-33.0117,17.9442,18.6,89,100,2.8,ZA,2023-03-04 20:09:09
250,lavrentiya,65.5833,-171.0,-13.55,95,100,4.84,RU,2023-03-04 20:09:10
251,laguna,38.421,-121.4238,12.25,69,100,9.26,US,2023-03-04 20:09:10
252,bonthe,7.5264,-12.505,26.02,85,20,3.99,SL,2023-03-04 20:09:10
253,lata,40.1629,-8.3327,12.67,72,100,0.61,PT,2023-03-04 20:09:10
254,minot,48.2325,-101.2963,1.12,60,0,5.14,US,2023-03-04 20:09:10
255,west fargo,46.875,-96.9004,1.12,69,0,3.09,US,2023-03-04 20:09:11
256,inuvik,68.3499,-133.7218,-31.27,95,27,0.44,CA,2023-03-04 20:09:11
257,honningsvag,70.9821,25.9704,-3.14,80,100,13.38,NO,2023-03-04 20:09:11
258,axim,4.8699,-2.2405,27.25,82,97,4.62,GH,2023-03-04 20:09:11
259,kruisfontein,-34.0033,24.7314,22.16,88,0,1.74,ZA,2023-03-04 20:04:30
260,kayes,14.0,-11.0,33.8,10,7,1.31,ML,2023-03-04 20:09:12
261,opuwo,-18.0607,13.84,18.08,40,0,2.84,NA,2023-03-04 20:09:12
262,aitape,-3.1374,142.3475,25.27,89,99,4.25,PG,2023-03-04 20:09:12
263,vadso,70.0744,29.7487,-2.51,80,100,4.63,NO,2023-03-04 20:09:12
264,koutiala,12.3917,-5.4642,32.48,11,14,3.21,ML,2023-03-04 20:09:13
265,rio grande,-32.035,-52.0986,23.93,85,97,5.79,BR,2023-03-04 20:09:13
266,marabba,12.35,32.1833,30.27,9,5,3.57,SD,2023-03-04 20:09:13
267,wuwei,37.9281,102.6414,4.39,24,2,1.4,CN,2023-03-04 20:09:13
268,verkhnevilyuysk,63.4453,120.3167,-12.79,92,96,3.81,RU,2023-03-04 20:09:13
269,bambanglipuro,-7.95,110.2833,25.64,86,100,3.87,ID,2023-03-04 20:09:14
270,qax,41.4225,46.9242,8.55,60,40,1.69,AZ,2023-03-04 20:09:14
271,ossora,59.2353,163.0719,-31.25,83,2,1.36,RU,2023-03-04 20:09:14
272,palaikastron,35.2,26.25,14.73,85,91,4.97,GR,2023-03-04 20:09:14
273,lorengau,-2.0226,147.2712,25.83,85,100,4.63,PG,2023-03-04 20:09:15
274,fairbanks,64.8378,-147.7164,-19.55,78,59,1.28,US,2023-03-04 20:02:04
275,aklavik,68.2191,-135.0107,-29.44,94,17,2.18,CA,2023-03-04 20:09:15
276,conde,-7.2597,-34.9075,27.01,70,100,5.33,BR,2023-03-04 20:09:15
277,bayonet point,28.3267,-82.6834,30.1,67,0,2.24,US,2023-03-04 20:09:15
278,safi,32.1667,-8.8333,13.05,58,100,3.98,MA,2023-03-04 20:09:16
279,norman wells,65.282,-126.8329,-24.15,92,84,4.54,CA,2023-03-04 20:09:16
280,erzin,36.9559,36.2,12.32,83,92,1.44,TR,2023-03-04 20:09:16
281,ostrovnoy,68.0531,39.5131,-11.88,90,100,3.57,RU,2023-03-04 20:09:16
282,natal,-5.795,-35.2094,27.56,71,90,5.65,BR,2023-03-04 20:06:04
283,yarim,14.298,44.3779,14.4,45,89,1.59,YE,2023-03-04 20:09:17
